smiles,pka__fraction_neutral,pka__logd_estimate,pka__most_acidic_pka,pka__most_basic_pka,pka__num_acidic_sites,pka__num_basic_sites,pka__num_ionizable_sites,rdkit__ExactMolWt,rdkit__FractionCSP3,rdkit__HeavyAtomCount,rdkit__HeavyAtomMolWt,rdkit__LabuteASA,rdkit__MaxAbsPartialCharge,rdkit__MaxPartialCharge,rdkit__MinAbsPartialCharge,rdkit__MinPartialCharge,rdkit__MolLogP,rdkit__MolWt,rdkit__NHOHCount,rdkit__NOCount,rdkit__NumAliphaticCarbocycles,rdkit__NumAliphaticHeterocycles,rdkit__NumAliphaticRings,rdkit__NumAromaticCarbocycles,rdkit__NumAromaticHeterocycles,rdkit__NumAromaticRings,rdkit__NumHAcceptors,rdkit__NumHDonors,rdkit__NumHeteroatoms,rdkit__NumRotatableBonds,rdkit__NumSaturatedCarbocycles,rdkit__NumSaturatedHeterocycles,rdkit__NumSaturatedRings,rdkit__RingCount,rdkit__TPSA,rdkit__qed
CN1CN=C2C1=N[C-][N+](O)=C2N,0.0001,-5.5065,3.9139,7.7608,1,4,5,166.072884876,0.3333333333333333,12.0,158.1,69.29623485581989,0.3946781587617448,0.2110175822011948,0.2110175822011948,-0.3946781587617448,-1.5024099999999994,166.164,3.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,77.22,0.2609533328917397
CCN(CC)c1ccc(-c2ccc(-c3ccc(N(CC)CC)cc3)cc2)cc1,0.9196,6.6766,,6.3418,0,2,2,372.256549024,0.3076923076923077,28.0,340.3000000000001,169.9847957872046,0.372091653577031,0.0365918312324126,0.0365918312324126,-0.372091653577031,6.713000000000007,372.5560000000001,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,3.0,6.48,0.4332423903475475
CC(=O)OC1C(O)C2OC3C=C(C)C(OC(=O)CC(C)C)CC3(OC(C)=O)C1(C)C21CO1,1.0,1.4451,13.1355,,1,0,1,452.2046326039999,0.782608695652174,32.0,420.24400000000026,186.90157609811544,0.4588131027898317,0.3061456437394477,0.3061456437394477,-0.4588131027898317,1.445099999999999,452.5000000000003,1.0,9.0,2.0,2.0,4.0,0.0,0.0,0.0,9.0,1.0,9.0,5.0,1.0,2.0,3.0,4.0,120.89,0.2858114983514036
C[C@H]1C[C@H]2OC(=O)[C@H](C)[C@H]2C[C@@]2(C)[C@H](O)C[C@H](O)C[C@H]12,1.0,1.7321,13.8053,,2,0,2,282.183109312,0.9375,20.0,256.172,120.05942411713364,0.4618224981447486,0.3088584575780828,0.3088584575780828,-0.4618224981447486,1.7321,282.38,2.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,2.0,1.0,3.0,3.0,66.76,0.6640843907647336
COc1ccc2c(c1)-c1c(OC)c(OC)cc3ccnc(c13)C2=O,1.0,3.472,,1.6223,0,1,1,321.10010796,0.1578947368421052,24.0,306.21200000000005,138.3459049308643,0.4967446653664221,0.212130793995264,0.212130793995264,-0.4967446653664221,3.472000000000002,321.33200000000005,0.0,5.0,1.0,0.0,1.0,2.0,1.0,3.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,4.0,57.65,0.578108451122366
O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,0.1205,1.1439,6.5366,,3,0,3,244.037173356,0.0,18.0,236.13799999999995,100.14377236360824,0.5079370014308849,0.2039236124501529,0.2039236124501529,-0.5079370014308849,2.063,244.202,3.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,90.9,0.5263727712755552
COc1cc(O)c2c(=O)c3cc(OC)ccc3oc2c1,0.1838,1.9333,6.7525,,1,0,1,272.06847348400004,0.1333333333333333,20.0,260.16,113.5122795470232,0.5068927371731996,0.203923741420049,0.203923741420049,-0.5068927371731996,2.6690000000000005,272.256,1.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,68.9,0.7262165151453279
O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCSSCCC(=O)N1C(C(=O)O)CSC1c1ccccc1O,0.0,-0.6945,2.6915,,4,0,4,624.0728498560001,0.3846153846153846,40.0,596.5600000000001,246.82111755723147,0.5075590685290639,0.3268386563865512,0.3268386563865512,-0.5075590685290639,4.014000000000004,624.7840000000003,4.0,10.0,0.0,2.0,2.0,2.0,0.0,2.0,10.0,4.0,14.0,11.0,0.0,2.0,2.0,4.0,155.67999999999998,0.2108034685104873
c1ccc2c(c1)-c1cc3ccccc3cc1C1NC21,0.8771,4.1488,,6.5465,0,1,1,243.104799416,0.1111111111111111,19.0,230.205,111.438245962639,0.2996739333748348,0.0529897942482208,0.0529897942482208,-0.2996739333748348,4.205800000000003,243.309,1.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,21.94,0.5869679063753442
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0.9906,1.0184,10.9604,5.3627,2,2,4,298.142975816,0.1875,22.0,280.20200000000006,128.4756226496372,0.3519853628395678,0.2649828421319022,0.2649828421319022,-0.3519853628395678,1.0224999999999989,298.346,3.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,3.0,6.0,7.0,0.0,0.0,0.0,2.0,83.12,0.5263360770159846
CCC1(c2ccccc2)C(=O)NCNC1=O,1.0,0.5379,11.8999,,2,0,2,218.105527688,0.3333333333333333,16.0,204.144,94.037993219651,0.3374657196198992,0.2410768782031805,0.2410768782031805,-0.3374657196198992,0.5378999999999999,218.256,2.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,58.2,0.7116448391760646
CCOCCc1c(-c2ccccc2)nc(N)n2ncnc12,0.9973,1.9513,13.6659,4.8289,2,5,7,283.143310164,0.2666666666666666,21.0,266.199,122.14725961612363,0.3813904791198582,0.2233319983313929,0.2233319983313929,-0.3813904791198582,1.9525,283.33500000000004,2.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,1.0,6.0,5.0,0.0,0.0,0.0,3.0,78.33,0.7240418013725355
O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,0.8789,0.6735,8.2608,1.9871,1,1,2,192.017106608,0.0,14.0,188.098,77.68133830095633,0.318419534284987,0.2963705101017557,0.2963705101017557,-0.318419534284987,0.7296,192.13,1.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,89.31,0.4031283205699953
COC(=O)Nc1nc2cc(OS(=O)(=O)c3ccc(F)cc3)ccc2[nH]1,0.9831,2.6406,9.2,4.5139,2,2,4,365.048169704,0.0666666666666666,25.0,353.2460000000001,141.26726689148663,0.452571857172807,0.4131899634176847,0.4131899634176847,-0.452571857172807,2.648000000000001,365.342,2.0,8.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,2.0,10.0,4.0,0.0,0.0,0.0,3.0,110.38,0.6878919485668906
COc1cc(OC)c2c(c1)OC1OC=CC21,1.0,2.0498,,,0,0,0,220.073558864,0.3333333333333333,16.0,208.128,93.37397138466142,0.4964805282281777,0.2503041227430151,0.2503041227430151,-0.4964805282281777,2.0498,220.224,0.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,36.92,0.7639571621185461
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,0.9627,5.1609,8.8115,,1,0,1,307.095691276,0.0588235294117647,23.0,294.20500000000004,131.4290912908777,0.5055931439187965,0.2964832190143523,0.2964832190143523,-0.5055931439187965,5.177420000000005,307.3090000000001,1.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,6.0,3.0,0.0,0.0,0.0,3.0,88.09,0.4106332093057892
Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1,0.9827,5.2617,9.1551,,1,0,1,262.110613068,0.0588235294117647,20.0,248.2,116.77611556837792,0.5055931440792302,0.1432551712650616,0.1432551712650616,-0.5055931440792302,5.269220000000004,262.31200000000007,1.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,44.95,0.6280993481969629
Cc1cc(C)cc(N=Nc2c(O)ccc3ccccc23)c1,0.9827,5.57,9.1532,,1,0,1,276.126263132,0.1111111111111111,21.0,260.211,123.14105768277454,0.5055931440792073,0.1432551712769551,0.1432551712769551,-0.5055931440792073,5.577640000000004,276.33900000000006,1.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,44.95,0.6101593506431455
Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1,0.9989,4.7451,13.391,4.442,2,1,3,292.096025624,0.0,22.0,280.202,125.6098061212978,0.3969070481094357,0.2690804074924857,0.2690804074924857,-0.3969070481094357,4.745600000000002,292.298,2.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,6.0,3.0,0.0,0.0,0.0,3.0,93.88,0.3265283687172553
O=S(=O)(O)c1ccc(N=Nc2ccc(O)c3ccccc23)cc1,0.0,-3.3548,-0.1623,,2,0,2,328.051777864,0.0,23.0,316.2530000000001,132.0398094640219,0.5073087536127384,0.2940131040447406,0.2940131040447406,-0.5073087536127384,4.207500000000002,328.34900000000005,2.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,2.0,7.0,3.0,0.0,0.0,0.0,3.0,99.32,0.5554519797011201
Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1,0.0,-3.9666,-0.7807,,3,0,3,386.057257168,0.0555555555555555,27.0,372.27300000000014,153.72544954505497,0.5047457814131813,0.3390793322335135,0.3390793322335135,-0.5047457814131813,4.214120000000003,386.38500000000016,3.0,8.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,3.0,9.0,4.0,0.0,0.0,0.0,3.0,136.61999999999998,0.4535519124211417
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,0.9827,5.5701,9.1547,,1,0,1,276.126263132,0.1111111111111111,21.0,260.211,123.14105768277452,0.5055931440729052,0.1432551728527937,0.1432551728527937,-0.5055931440729052,5.577640000000005,276.33900000000006,1.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,44.95,0.6101593506431455
COc1cc(S(=O)(=O)O)c(C)cc1N=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12,0.0,-4.2407,-0.6119,,3,0,3,452.034807472,0.1111111111111111,30.0,436.33800000000025,171.51187493236264,0.5055931439275544,0.2944181968929432,0.2944181968929432,-0.5055931439275544,3.771220000000001,452.4660000000001,3.0,10.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,3.0,12.0,5.0,0.0,0.0,0.0,3.0,162.92,0.3888740366675355
COc1ccc(N(CCCl)CCCl)c2cc([N+](=O)[O-])oc12,0.9995,3.6334,,4.1095,0,1,1,332.03306228799994,0.3846153846153846,21.0,319.0590000000001,130.86499456326544,0.4928134235431403,0.4338569992300721,0.4338569992300721,-0.4928134235431403,3.633600000000002,333.1710000000001,0.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,8.0,7.0,0.0,0.0,0.0,2.0,68.75,0.4395689763799431
COc1ccc(N(CCCl)CCCl)c2oc([N+](=O)[O-])cc12,0.9997,3.6335,,3.8774,0,1,1,332.03306228799994,0.3846153846153846,21.0,319.0590000000001,130.86499456326544,0.4959812734913822,0.4338611228133668,0.4338611228133668,-0.4959812734913822,3.633600000000002,333.17100000000005,0.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,8.0,7.0,0.0,0.0,0.0,2.0,68.75,0.4395689763799431
O=C1C(=O)c2c(ccc3ccccc23)-c2ccccc21,1.0,3.8858,,,0,0,0,258.06807956,0.0,20.0,248.196,115.21725913264774,0.2848477739548245,0.23429364225599,0.23429364225599,-0.2848477739548245,3.8858000000000015,258.276,0.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,34.14,0.5732174018877257
COc1ccccc1NC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O,0.0574,6.7965,6.1847,3.7038,4,2,6,688.16038804,0.1764705882352941,48.0,659.3160000000001,285.7250982508015,0.4945794384046261,0.2584203999666457,0.2584203999666457,-0.4945794384046261,8.037600000000007,689.556,2.0,12.0,0.0,0.0,0.0,4.0,0.0,4.0,10.0,2.0,14.0,13.0,0.0,0.0,0.0,4.0,160.23999999999998,0.1067365978255645
C1COCCOCCOCCOCCO1,1.0,0.083,,,0,0,0,220.13107374,1.0,15.0,200.105,90.5856250514042,0.3766676360734525,0.0701143954655702,0.0701143954655702,-0.3766676360734525,0.0830000000000008,220.265,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,46.150000000000006,0.5784361591039952
Nc1ccc2c(=O)[nH]sc2c1,0.9923,1.1684,9.5661,4.3673,3,1,4,166.020083812,0.0,11.0,160.15699999999998,66.61558168859207,0.3986867013738225,0.2654090081457488,0.2654090081457488,-0.3986867013738225,1.1718,166.205,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,58.88,0.577032451673197
CC1=CCCc2c1cc(C)c1c2ccc2ccccc21,1.0,5.6509,,,0,0,0,258.140850576,0.2,20.0,240.22,119.28895068363354,0.0806600531829624,-0.0072915705524088,0.0072915705524088,-0.0806600531829624,5.650920000000005,258.36400000000003,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.456914952263285
Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0.8362,5.7237,,6.6921,0,2,2,380.02499614,0.1666666666666666,24.0,366.5700000000001,155.30254167352285,0.3669220090498758,0.1022509807681916,0.1022509807681916,-0.3669220090498758,5.801400000000003,381.69000000000005,0.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,27.05,0.5391871956552778
O=C1N(CO)C(O)C(O)N1CO,0.9999,-2.7396,11.4423,,4,0,4,178.05897142,0.8,12.0,168.06399999999996,68.0513127811213,0.3761055990905867,0.3275930309993342,0.3275930309993342,-0.3761055990905867,-2.7396,178.14399999999998,4.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,7.0,2.0,0.0,1.0,1.0,1.0,104.47,0.3669800548984799
O=c1c(Cl)c(Cl)cnn1S(=O)(=O)c1ccc(Cl)cc1Cl,1.0,3.0939,,3.0758,0,2,2,371.869673708,0.0,20.0,370.0000000000001,133.2415812424396,0.3012063965559222,0.3012063965559222,0.264864009018286,-0.264864009018286,3.0939000000000005,374.03200000000015,0.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,10.0,2.0,0.0,0.0,0.0,2.0,69.03,0.8104718225829065
O=c1c(Cl)c(Cl)cnn1S(=O)(=O)c1ccc(Cl)cc1,0.9999,2.4405,,3.1616,0,2,2,337.90864606,0.0,19.0,334.54700000000014,122.93831501555796,0.3012056887492333,0.3012056887492333,0.264864015191461,-0.264864015191461,2.4405,339.5870000000001,0.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,69.03,0.8424657155781997
CCN1CCN=N1,0.9968,0.6877,,4.9019,0,1,1,99.079647288,1.0,7.0,90.065,43.004993752417576,0.2771701633068302,0.0812503697824753,0.0812503697824753,-0.2771701633068302,0.6890999999999999,99.137,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,27.96,0.4749681320151631
CN1CCc2c1ccc1ccc3ccc(O)cc3c21,0.9885,3.6859,9.6449,5.1712,1,1,2,249.1153641,0.1764705882352941,19.0,234.193,111.43779479502736,0.5079431421993003,0.115738848370337,0.115738848370337,-0.5079431421993003,3.690900000000002,249.313,1.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,23.47,0.6141223209026743
S=C(Nc1ccccc1)Nc1ccccc1,0.9995,3.4953,12.4118,4.0955,2,3,5,228.072119384,0.0,16.0,216.224,100.3119440543786,0.3324891654990118,0.174765941956442,0.174765941956442,-0.3324891654990118,3.4955000000000016,228.32,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,24.06,0.7692831066170206
N/C(=N\OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1,0.0,-6.3997,2.7856,4.7507,4,2,6,312.09575085200004,0.3846153846153846,22.0,296.15000000000003,124.7349660169364,0.4792421828446936,0.3353369246934203,0.3353369246934203,-0.4792421828446936,-1.7842999999999978,312.278,6.0,9.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,5.0,9.0,4.0,0.0,1.0,1.0,2.0,154.82999999999998,0.2480544065259585
O=NN1CCC(Br)C(Br)C1,1.0,1.9005,,,0,0,0,269.900337076,1.0,10.0,263.876,76.3529852178383,0.2596965714104934,0.0528158417328328,0.0528158417328328,-0.2596965714104934,1.9005,271.94000000000005,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,32.67,0.5391181025830777
CC1CCN(N=O)CC1,1.0,1.3997,,,0,0,0,128.094963004,1.0,9.0,116.07899999999998,54.982832120952175,0.2608877051949383,0.0523471947853083,0.0523471947853083,-0.2608877051949383,1.3997,128.17499999999998,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,32.67,0.4998709700388202
O=NN1CCC[C@H](O)C1,1.0,0.1245,13.7351,,1,0,1,130.07422756,1.0,9.0,120.06699999999998,53.412123758751584,0.3912139285526025,0.0733278669319109,0.0733278669319109,-0.3912139285526025,0.1245000000000001,130.147,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,52.900000000000006,0.5129291486704722
CC1(C)CCCC(C)(C)N1O,0.986,2.4126,13.9614,5.5524,1,1,2,157.146664228,1.0,11.0,138.105,69.16106271135054,0.3129520370986702,0.0409975310445973,0.0409975310445973,-0.3129520370986702,2.4187000000000003,157.257,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,23.47,0.5834257053817
c1ccc2cc3c(cc4c5c(cccc53)C3OC43)cc2c1,1.0,5.2722,,,0,0,0,268.088815004,0.1,21.0,256.21899999999994,121.3081638659442,0.3593636592289949,0.1144727533632913,0.1144727533632913,-0.3593636592289949,5.272200000000003,268.315,0.0,1.0,1.0,1.0,2.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,12.53,0.240229381675362
O=C1CCc2c1cc(C(F)(F)F)c1c3c(ccc21)C(O)C(O)C=C3,1.0,3.4086,12.93,,2,0,2,334.081678936,0.2777777777777778,24.0,321.189,134.57793504037684,0.4165529688479521,0.4165529688479521,0.3859492456682228,-0.3859492456682228,3.4086000000000025,334.29299999999995,2.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,57.53,0.7762054158222168
NNc1nncc2ccncc12,0.994,0.3078,11.5274,5.1745,1,4,5,161.070145224,0.0,12.0,154.11199999999997,68.60035406333216,0.3064061350438198,0.1715996925160485,0.1715996925160485,-0.3064061350438198,0.3103999999999997,161.16799999999998,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,76.72,0.4646516791648335
Clc1nncc2ccncc12,1.0,1.6782,,2.2137,0,3,3,165.009374808,0.0,11.0,161.55099999999996,68.0437313893581,0.2639470752368931,0.1605613480422115,0.1605613480422115,-0.2639470752368931,1.6782,165.58299999999997,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,38.67,0.5963278359800787
CC(=O)OCc1cocc2c(C=O)ccc1-2,1.0,2.26,,,0,0,0,218.0579088,0.1666666666666666,16.0,208.128,92.15820935695427,0.4715202524709819,0.3024629350901572,0.3024629350901572,-0.4715202524709819,2.2600000000000007,218.208,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,56.51,0.5853099652069009
Nc1ccc(-c2ccc(N)c(O)c2)cc1O,0.9659,1.9141,8.8934,4.8874,6,2,8,216.089877624,0.0,16.0,204.14399999999995,92.75674622397844,0.5057729141894729,0.1385782296138827,0.1385782296138827,-0.5057729141894729,1.9292,216.24,6.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,92.5,0.4326071001734572
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])c([N+](=O)[O-])c2)c([N+](=O)[O-])c1,1.0,2.9864,,,0,0,0,334.018563152,0.0,24.0,328.1520000000001,131.10040021556017,0.3461545158106601,0.3461545158106601,0.2583059735540691,-0.2583059735540691,2.986400000000001,334.20000000000005,0.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,12.0,5.0,0.0,0.0,0.0,2.0,172.56,0.5919835154052303
O=[N+]([O-])c1ccc(-c2ccccc2)c([N+](=O)[O-])c1,1.0,3.17,,,0,0,0,244.048406736,0.0,18.0,236.142,101.7944487705606,0.2835641848366161,0.2835641848366161,0.2583059735540696,-0.2583059735540696,3.1700000000000017,244.206,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,86.28,0.6124206955055239
